XCoord,YCoord,NAME
376791.34123502,137031.49875040,NEWPORT
414412.18935335,137039.90088357,LITTLE COMPTON
376728.94588938,136948.40890436,NEWPORT
376660.74890267,136808.86371259,NEWPORT
377040.57292843,136917.82578663,NEWPORT
376830.03473857,136911.98424034,NEWPORT
414357.26048508,136837.11201190,LITTLE COMPTON
418257.42304268,136795.52716522,LITTLE COMPTON
376855.43216007,136777.66363789,NEWPORT
413584.24366029,136756.37905747,LITTLE COMPTON
377057.89170334,136760.52769756,NEWPORT
413477.46313296,136683.11775538,LITTLE COMPTON
365477.16662304,136665.46080371,NEWPORT
377037.92162818,136662.93761303,NEWPORT
376872.51536542,136667.58971685,NEWPORT
376901.13868899,136556.66397560,NEWPORT
382098.92574049,136339.60776370,NEWPORT
412489.89786451,136232.80005795,LITTLE COMPTON
412645.52246416,136149.50801531,LITTLE COMPTON
377478.18898248,136103.64246154,NEWPORT
412388.02138223,136008.97382913,LITTLE COMPTON
381972.41870481,135936.32729294,NEWPORT
376364.24708572,135762.20673654,NEWPORT
410397.76915981,135688.15890503,LITTLE COMPTON
412804.11202983,135664.91985285,LITTLE COMPTON
410325.59747270,135578.02388371,LITTLE COMPTON
378640.96681444,135536.56711772,NEWPORT
410842.67767709,135520.95157541,LITTLE COMPTON
375859.96805400,135016.26531345,NEWPORT
412199.91464932,135192.18156417,LITTLE COMPTON
410904.18470375,135235.18810412,LITTLE COMPTON
412439.18008368,135220.72716257,LITTLE COMPTON
410484.88539558,135102.22919289,LITTLE COMPTON
410624.17719354,135046.11052283,LITTLE COMPTON
374520.74679513,134982.25979090,NEWPORT
410407.80483917,134947.92691852,LITTLE COMPTON
411847.48222254,134944.01454173,LITTLE COMPTON
409642.23224051,134873.80967536,LITTLE COMPTON
410485.22880906,134913.40878397,LITTLE COMPTON
410822.29252679,134799.11399708,LITTLE COMPTON
411589.42684900,134793.20767192,LITTLE COMPTON
411663.35860491,134716.31949587,LITTLE COMPTON
411562.77561762,134687.05874241,LITTLE COMPTON
373294.25490409,134230.13337538,NEWPORT
341038.91762576,134293.35952537,SOUTH KINGSTOWN
412267.74225020,134180.40432524,LITTLE COMPTON
410736.69505405,133816.32163211,LITTLE COMPTON
371472.96253582,134146.50736593,NEWPORT
341008.53261108,133686.38126333,NARRAGANSETT
411350.75593327,134016.50109156,LITTLE COMPTON
411312.22047109,133951.42483547,LITTLE COMPTON
379624.58797794,133808.98046423,NEWPORT
379464.05777881,133724.50875215,NEWPORT
411964.18224404,133372.30784847,LITTLE COMPTON
411738.40730168,133486.55629370,LITTLE COMPTON
411493.21494926,133392.07653049,LITTLE COMPTON
410853.63570408,133285.20361088,LITTLE COMPTON
334254.87101839,118176.48087918,NARRAGANSETT
341303.66192252,133158.65437553,NARRAGANSETT
372016.94864392,133187.07616846,NEWPORT
411956.84417675,133025.64356393,LITTLE COMPTON
339004.52172162,132558.28205797,SOUTH KINGSTOWN
342570.06323010,131755.34495406,NARRAGANSETT
343137.90112880,131388.25809315,NARRAGANSETT
349024.28960426,131522.95199519,NARRAGANSETT
344437.52876802,130285.65830758,NARRAGANSETT
344814.20590593,129665.27105026,NARRAGANSETT
327229.11144878,123185.32366607,SOUTH KINGSTOWN
327096.92007773,122851.07476709,SOUTH KINGSTOWN
248692.24543852,102849.16173180,WESTERLY
326594.35156719,122166.52912630,SOUTH KINGSTOWN
330142.43577711,121698.40376236,NARRAGANSETT
326223.52631237,117905.89226549,SOUTH KINGSTOWN
327008.05184422,117952.98622817,NARRAGANSETT
328543.91718222,116648.69703678,NARRAGANSETT
234391.52766601,116257.47997694,WESTERLY
325651.56003182,117001.91663303,SOUTH KINGSTOWN
327313.67032470,116690.11529986,NARRAGANSETT
327518.23114665,116164.92220419,NARRAGANSETT
328027.74691548,116146.36402446,NARRAGANSETT
327180.84954147,111922.81062945,NARRAGANSETT
324565.85129941,114325.00784465,SOUTH KINGSTOWN
328206.06291541,113859.45185583,NARRAGANSETT
328386.74389783,113859.88022806,NARRAGANSETT
328739.00856662,112496.47638440,NARRAGANSETT
328427.17443186,112419.15046317,NARRAGANSETT
328672.77375072,112260.86446885,NARRAGANSETT
325602.45215193,112058.80838883,NARRAGANSETT
322943.45549561,109305.87669844,SOUTH KINGSTOWN
322612.15230876,108485.99556302,SOUTH KINGSTOWN
323245.38509962,107313.96440263,NARRAGANSETT
322749.70740422,107729.76804141,NARRAGANSETT
