lat,long,year
41.4276,-71.5018,2020
41.425,-71.4924,2020
41.4263,-71.4974,2020
41.4298,-71.4975,2020
41.399,-71.5299,2020
41.3731,-71.5867,2020
41.3771,-71.5829,2020
41.5855,-71.1819,2020
41.5935,-71.2096,2020
41.7374603,-71.2664774,2020
41.75872,-71.279016,2020
41.7369,-71.2791,2020
41.73358,-71.27606,2020
41.724893,-71.259978,2020
41.7494,-71.2804,2020
41.7420749,-71.2724438,2020
41.7123,-71.2878,2020
41.73327,-71.27756,2020
41.742143,-71.257309,2020
41.7489,-71.2786,2020
41.734845,-71.280788,2020
41.738,-71.2787,2020
41.7266,-71.2599,2020
41.7147,-71.2916,2020
41.741,-71.2575,2020
41.7051392,-71.4176354,2020
41.7125573,-71.3868445,2020
41.7093,-71.4161,2020
41.6599881,-71.4145285,2020
41.7534,-71.4402,2020
41.7032855,-71.4585435,2020
41.7358,-71.409,2020
41.6518299,-71.60794,2020
41.6663,-71.5002,2020
41.718207,-71.516082,2020
41.3243,-71.8432,2020
41.32,-71.8239,2020
41.3866,-71.8058,2020
41.3838,-71.7997,2020
41.3448,-71.8017,2020
41.3496,-71.8091,2020
41.3929,-71.8388,2020
41.3309,-71.7694,2020
41.3348,-71.7674,2020
